广东电网“两种人”安规保命题题库-变电“两种人”类										
序号	专业分类	题型	题干	A	B	C	D	答案	对应条款编号	关键知识点
1	变电“两种人”类	单选题	发生人身触电事故时，为解救触电人，可以()。	不经许可，立即断开有关设备的电源，但事后应及时报告设备有关单位	不经许可，立即断开有关设备的电源，事后无须报告设备有关单位	经许可后，再断开有关设备的电源，事后应及时报告设备有关单位	经许可后，再断开有关设备的电源，事后无须报告设备有关单位	A	9.5.1.3	人身触电、立即
2	变电“两种人”类	单选题	依据《中国南方电网有限责任公司电力安全工作规程》规定，临时用电检修电源箱应装自动空气开关、剩余电流动作保护器、接线柱或插座；专用接地铜排和端子、箱体(  )接地，接地、接零标识应清晰。	禁止	必须可靠	可以不	在特殊情况下可以	B	5.4.2	临时用电、检修电源箱、可靠接地、接零标识
3	变电“两种人”类	单选题	依据《中国南方电网有限责任公司电力安全工作规程》规定，电气设备着火时，应立即（  ）。	汇报领导，然后切断有关电源，再进行灭火。	汇报调度，然后切断有关电源，再进行灭火。	切断有关电源，然后进行灭火。	汇报领导，然后进行灭火。	C	5.3.13	电气设备着火、切断有关电源、灭火
4	变电“两种人”类	单选题	厂站内作业时，工作票中的任何工作人员应在(  )的情况下，方可进入高压室、阀厅内和室外高压设备区内。	有人许可	有人监护	办理工作票	办理操作票	B	6.6.8	厂站内作业、有人监护、进入
5	变电“两种人”类	单选题	依据《中国南方电网有限责任公司电力安全工作规程》规定，(   )进入生产场所，应正确佩戴安全帽，但在办公室、值班室、监控室、班组检修室、继电保护室、自动化室、通信及信息机房等场所，确无磕碰、高处坠落或落物等危险的情况下，可不戴安全帽。	工作班成员	任何人	工作许可人	工作负责人	B	5.3.5	继电保护室、自动化室、通信及信息机房、佩戴安全帽
6	变电“两种人”类	单选题	厂站工作时，在一经合闸即可送电到工作地点的隔离开关或断路器操作把手、电压互感器低压侧空气开关（熔断器）操作处，应悬挂（  ）标示牌。	“禁止合闸，有人工作!”	“禁止合闸，线路有人工作!”	“止步，高压危险!”	“在此工作!”	A	7.5.1	一经合闸即可送电、厂站工作、"禁止合闸，有人工作"
7	变电“两种人”类	单选题	工作许可人、工作负责人任何一方不得擅自变更(  )。工作中若有特殊情况需要变更时，应先征得对方同意，并及时恢复，变更及恢复情况应及时记录。	工作内容	安全措施	工作班成员	工作任务	B	6.5.1.4	工作负责人、变更、恢复、记录
8	变电“两种人”类	单选题	工作票增加工作任务如需变更安全措施的，应（  ）。	取得工作许可人同意	重新办理工作票	取得工作签发人同意	取得值班负责人同意	B	6.9.1	增加工作任务、变更安全措施、重新办理
9	变电“两种人”类	单选题	专责监护人(  )兼做其他工作。	在工作负责人同意时可以	在领导在场的情况下可以	 不得	在工作许可人同意时可以	C	6.6.5	专责监护人、不得、兼做其他工作
10	变电“两种人”类	单选题	发生人身触电事故时，为解救触电人，可以()。	不经许可，立即断开有关设备的电源，但事后应及时报告设备有关单位	不经许可，立即断开有关设备的电源，事后无须报告设备有关单位	经许可后，再断开有关设备的电源，事后应及时报告设备有关单位	经许可后，再断开有关设备的电源，事后无须报告设备有关单位	A	9.5.1.3	触电处理
11	变电“两种人”类	单选题	依据《中国南方电网有限责任公司电力安全工作规程》，不应使用有(      )、电源线护套破裂、保护线脱落、插头插座裂开或有损于安全的机械损伤等故障手持电动工器具。	绝缘损坏	外观残旧	包装损坏	绝缘良好	A	29.1.1.3	工器具使用
12	变电“两种人”类	单选题	保险带、绳使用长度在（）以上的应加缓冲器。	1.5m	2.5m	2m	3m	C	26.2.3.5 保险带、绳使用长度在 2m 以上的应加缓冲器	工器具使用
13	变电“两种人”类	单选题	依据《中国南方电网有限责任公司电力安全工作规程》规定，在厂站的带电区域内或邻近带电导体附近作业，不可以使用哪些类型梯子（ ）	环氧树脂材料梯子	干燥竹梯	干燥木梯	铝梯	D	5.3.8	工器具使用
14	变电“两种人”类	单选题	SF6电气设备发生大量泄漏等紧急情况时，人员应()。	查找气味来源，及时处理	迅速撤出现场，开启所有排风机进行排风	迅速启动消防系统	对泄漏气室及时补气	B	10.2.13	气体泄露处置
15	变电“两种人”类	单选题	作业人员有权依据《中国南方电网有限责任公司电力安全工作规程》拒绝违章指挥和强令冒险作业，在发现危及人身安全的情况时，()并立即报告。	继续冒险作业	无权停止作业	采取可行的应急措施后撤离作业场所	置之不理	C	4.3	
1	变电“两种人”类	判断题	非设备运维人员对设备进行红外、紫外检测的工作可选用厂站第三种工作票	正确	错误			A	6.3.3.4	厂站三种票应用范围
2	变电“两种人”类	判断题	以手触试的设备：厂站内的电压等级在10kV及以下、高度在2m以下的一次设备导体部分，以及使用厂站工作票的高压配电设备（环网柜和电缆分支箱除外）。	正确	错误			B	6.5.3.2	以手触试规定
3	变电“两种人”类	判断题	装有SF6设备的电气设备室和SF6气体实验室，应装设强力通风装置，排风口应设置在室内墙壁上部。	正确	错误			B	10.2.2	室内SF6排风设备位置
4	变电“两种人”类	判断题	开展抢修工作应做好风险分析和安全措施，防止发生次生灾害。	正确	错误			A	5.5.2	
5	变电“两种人”类	判断题	依据《中国南方电网有限责任公司电力安全工作规程》规定，作业现场施工用电设施应由取得资质的人员安装维护，严禁私拉乱接，但可以将电线直接钩挂在闸刀上或直接插入插座内使用。	正确	错误			B	5.4.3	
